"cim","price","infosor","felszereltseg","diler","link","leiras"
"MERCEDES-BENZ B 180 d Urban 7G-DCT Áfás!Integrált szerviz csomag","7.590.000 Ft","? km-re  ·  2016/9  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 000 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_urban_7g-dct_afasintegralt_szerviz_csomag-10783245","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, éjfekete unilakkozás, Szaha... (hirdetéskód: 10783245)
					"
"MERCEDES-BENZ E 250 CGI BlueEFFICIENCY Avantgarde 7G-TRONIC AMG.Magyaro.szervízk","7.590.000 Ft","? km-re  ·  2012/5  ·  Benzin  ·  1796 cm³  ·  150 kW (204 LE)  ·  91 703 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#PARKRADAR#SPORTFUTÓMŰ#TEMPOMAT","","https://www.hasznaltauto.hu/auto/mercedes-benz/e_250/mercedes-benz_e_250_cgi_blueefficiency_avantgarde_7g-tronic_amg.magyaro.szervizk-11949101","
						MAGYARORSZÁGI, MERCEDES MÁRKASZERVÍZBEN VEZETETT SZERVÍZKÖNYVES, AKÁR + 1 ÉV PAPPAS GAR... (hirdetéskód: 11949101)
					"
"MERCEDES-BENZ A 180 d Urban 7G-DCT Áfás ISP. Mo-i. Garanciális. 1","7.649.000 Ft","? km-re  ·  2017/6  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 000 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_urban_7g-dct_afas_isp._mo-i._garancialis._1-11862206","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, assyst szervizintervallum k... (hirdetéskód: 11862206)
					"
"MERCEDES-BENZ A 180 d Urban 7G-DCT Áfás!Integrált szerviz csomag","7.690.000 Ft","? km-re  ·  2017/1  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 000 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_urban_7g-dct_afasintegralt_szerviz_csomag-11242834","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, Elbait-zöld metálfényezés, ... (hirdetéskód: 11242834)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT","7.690.000 Ft","? km-re  ·  2016/10  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  9 001 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#RÁDIÓ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct-12079549","
						Eladó egy rendkívül gyönyörű állapotban lévő Mercedes-Benz B 180d. Az autó a kecskeméti... (hirdetéskód: 12079549)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT BÉRELHETŐ","7.710.487 Ft","? km-re  ·  2017/2  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  10 150 km","GARANCIÁLIS#BÉRELHETŐ#TEMPOMAT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#USB","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct_berelheto-12106441","
						 (hirdetéskód: 12106441)
					"
"MERCEDES-BENZ CLA 180 SB Nettó 6.182.400","7.851.648 Ft","? km-re  ·  2016/6  ·  Benzin  ·  1595 cm³  ·  90 kW (122 LE)  ·  45 800 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#SZÍNEZETT ÜVEG#USB","","https://www.hasznaltauto.hu/auto/mercedes-benz/cla_180/mercedes-benz_cla_180_sb_netto_6.182.400-11931518","
						Cavansit-kék metálfényezés, Okostelefon integráció csomag, Tolatókamera, Sávtartó csoma... (hirdetéskód: 11931518)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT Áfás!Integrált szerviz csomag","7.888.000 Ft","? km-re  ·  2017/2  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 000 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#KIHANGOSÍTÓ#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct_afasintegralt_szerviz_csomag-12073861","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, Zirrus-fehér unifényezés, f... (hirdetéskód: 12073861)
					"
"MERCEDES-BENZ B 180 d Style 7G-DCT Mo-i. ÁFÁ-S. 1 TULAJDONOS. ISP","7.890.000 Ft","? km-re  ·  2017/7  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  6 137 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#ÉJJELLÁTÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_style_7g-dct_mo-i._afa-s._1_tulajdonos._isp-12127770","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, assyst szervizintervallum k... (hirdetéskód: 12127770)
					"
"BMW 218d (Automata) (7 személyes ) 2 év garanciával!","7.990.000 Ft","? km-re  ·  2015/5  ·  Dízel  ·  1995 cm³  ·  110 kW (150 LE)  ·  10 000 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT","","https://www.hasznaltauto.hu/auto/bmw/218/bmw_218d_automata_7_szemelyes__2_ev_garanciaval-12047775","
						9.000 km-t futott bemutató autó azonnal átvehető! Az felszereltsége a teljesség igénye... (hirdetéskód: 12047775)
					"
