"cim","price","infosor","felszereltseg","diler","link","leiras"
"MERCEDES-BENZ B 170 Autotronic Magyaro.1 gazdás","2.990.000 Ft","? km-re  ·  2009/2  ·  Benzin  ·  1699 cm³  ·  85 kW (116 LE)  ·  70 351 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_170/mercedes-benz_b_170_autotronic_magyaro.1_gazdas-12112057","
						MAGYARORSZÁGI, ELSŐ GAZDÁS, AKÁR + 1 ÉV PAPPAS GARANCIÁVAL, 16-os könnyűfém keréktárcsá... (hirdetéskód: 12112057)
					"
"KIA CEE'D 1.4 CVVT EX Limited Garancia!","3.890.000 Ft","? km-re  ·  2016/9  ·  Benzin  ·  1396 cm³  ·  74 kW (101 LE)  ·  27 500 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PÓTKERÉK#SZÍNEZETT ÜVEG#TEMPOMAT#USB","","https://www.hasznaltauto.hu/auto/kia/ceed/kia_ceed_1.4_cvvt_ex_limited_garancia-10944954","
						ÁFA VISSZAIGÉNYLÉSI LEHETŐSÉG, NYÍLTVÉGŰ LÍZING ESETÉN, CÉGEKNEK ÉS EGYÉNI VÁLLALKOZÓKN... (hirdetéskód: 10944954)
					"
"KIA CEE'D 1.4 CVVT LX Áfás! Garancia!","3.890.000 Ft","? km-re  ·  2016/8  ·  Benzin  ·  1396 cm³  ·  74 kW (101 LE)  ·  35 000 km","GARANCIÁLIS#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ KORMÁNY#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#USB","","https://www.hasznaltauto.hu/auto/kia/ceed/kia_ceed_1.4_cvvt_lx_afas_garancia-10944660","
						ÁFA VISSZAIGÉNYLÉSI LEHETŐSÉG, NYÍLTVÉGŰ LÍZING ESETÉN, CÉGEKNEK ÉS EGYÉNI VÁLLALKOZÓKN... (hirdetéskód: 10944660)
					"
"BMW 320d FIX ÁR!","3.990.000 Ft","? km-re  ·  2012/3  ·  Dízel  ·  1995 cm³  ·  135 kW (184 LE)  ·  241 860 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ#XENON","","https://www.hasznaltauto.hu/auto/bmw/320/bmw_320d_fix_ar-12069630","
						Sport-line felszereltség, M sport futómű, fekete metál fényezés, Dakota bőrkárpit szürk... (hirdetéskód: 12069630)
					"
"MINI MINI COOPER Countryman 1.6 S ALL4 1 év gari.friss szerviz.Wallis","3.990.000 Ft","? km-re  ·  2012/2  ·  Benzin  ·  1598 cm³  ·  135 kW (184 LE)  ·  139 209 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#HIFI#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ#VONÓHOROG","","https://www.hasznaltauto.hu/auto/mini/mini_cooper/mini_mini_cooper_countryman_1.6_s_all4_1_ev_gari.friss_szerviz.wallis-12067670","
						Az autó kitűnő állapotban van, Magyar autó, végig a Wallisnál szervizelt, most friss sz... (hirdetéskód: 12067670)
					"
"CITROEN GRAND C4 PICASSO C4Picasso 1.6 HDi Sélection 2 FAP (7 személyes ) Magyar!","3.999.000 Ft","? km-re  ·  2014/1  ·  Dízel  ·  1560 cm³  ·  82 kW (112 LE)  ·  125 487 km","GARANCIÁLIS#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#SZÍNEZETT ÜVEG","","https://www.hasznaltauto.hu/auto/citroen/grand_c4_picasso/citroen_grand_c4_picasso_c4picasso_1.6_hdi_selection_2_fap_7_szemelyes__magyar-11613484","
						Magyarországi! Nagyon szép állapotban, sok extrával! Áfás számlával! 1év garanciával! A... (hirdetéskód: 11613484)
					"
"VOLVO S60 2.0 D [D3] Kinetic Magyar! Szervizkönyv!","3.999.999 Ft","? km-re  ·  2011/11  ·  Dízel  ·  1984 cm³  ·  120 kW (163 LE)  ·  142 021 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#TEMPOMAT","","https://www.hasznaltauto.hu/auto/volvo/s60/volvo_s60_2.0_d_d3_kinetic_magyar_szervizkonyv-11795119","
						Megkímélt szép állapotban! Magyarországon vásárolt, rendszeresen karbantartott. Ivanics... (hirdetéskód: 11795119)
					"
"VOLVO V40 1.6 D [D2] Kinetic Navi!","4.190.000 Ft","? km-re  ·  2012/11  ·  Dízel  ·  1560 cm³  ·  84 kW (114 LE)  ·  131 019 km","GARANCIÁLIS","","https://www.hasznaltauto.hu/auto/volvo/v40/volvo_v40_1.6_d_d2_kinetic_navi-11708536","
						ABS, EBD, DSTC, 8 légzsák, tempomat, elektromos tükrök, 4 elektromos ablakemelő, 6 sebe... (hirdetéskód: 11708536)
					"
"JEEP RENEGADE 1.6 Mjt Opening Edition FWD","4.990.000 Ft","? km-re  ·  2014/11  ·  Dízel  ·  1598 cm³  ·  88 kW (120 LE)  ·  104 500 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CENTRÁLZÁR#ESP#FŰTHETŐ KORMÁNY#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ#XENON","","https://www.hasznaltauto.hu/auto/jeep/renegade/jeep_renegade_1.6_mjt_opening_edition_fwd-9739803","
						A PAPPAS AUTO MAGYARORSZÁG KFT, MINT A JEEP MÁRKA HIVATALOS MÁRKAKERESKEDŐJE, 5 ÉV GARA... (hirdetéskód: 9739803)
					"
"OPEL ZAFIRA TOURER 1.6 T Edition (Automata) (7 személyes )","4.990.000 Ft","? km-re  ·  2016/8  ·  Benzin  ·  1598 cm³  ·  125 kW (170 LE)  ·  44 347 km","GARANCIÁLIS#TEMPOMAT#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG","","https://www.hasznaltauto.hu/auto/opel/zafira_tourer/opel_zafira_tourer_1.6_t_edition_automata_7_szemelyes-12011639","
						Magyarországi, megkímélt nagyon szép újszerű állapotban! ! Auto Park Maxabo Kft. Óbudán... (hirdetéskód: 12011639)
					"
