"cim","price","infosor","felszereltseg","diler","link","leiras"
"VOLVO XC90 2.4 D [D5] Summum Geartronic 137000km!","5.590.000 Ft","? km-re  ·  2010/5  ·  Dízel  ·  2401 cm³  ·  136 kW (185 LE)  ·  137 900 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#PÓTKERÉK#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#XENON","","https://www.hasznaltauto.hu/auto/volvo/xc90/volvo_xc90_2.4_d_d5_summum_geartronic_137000km-10652728","
						1 év Műszaki Garancia! - 1 Év Assistance - Használt autó az Ivanics Kft-től garanciával... (hirdetéskód: 10652728)
					"
"VOLVO S80 2.0 D [D4] Momentum Geartronic Újszerű! Árcsökkenés!","5.790.000 Ft","? km-re  ·  2012/8  ·  Dízel  ·  1984 cm³  ·  120 kW (163 LE)  ·  147 000 km","GARANCIÁLIS#AUTOMATA","","https://www.hasznaltauto.hu/auto/volvo/s80/volvo_s80_2.0_d_d4_momentum_geartronic_ujszeru_arcsokkenes-11154818","
						ABS, EBD, DSTC, 6 légzsák, 6 sebességes automata váltó, szervokormány, tempomat, elektr... (hirdetéskód: 11154818)
					"
"MERCEDES-BENZ A 180 (BlueEFFICIENCY) 7G-DCT vezetett szervizkönyv","5.888.000 Ft","? km-re  ·  2015/3  ·  Benzin  ·  1595 cm³  ·  90 kW (122 LE)  ·  76 451 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KLÍMA#LÉGZSÁK#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_blueefficiency_7g-dct_vezetett_szervizkonyv-12064684","
						vezetett szervizkönyves, calcitfehér unilakkozás, fekete-antracite artico műbőr kárpito... (hirdetéskód: 12064684)
					"
"VOLVO XC60 2.4 D [D5] Momentum 132.400km! Magyar szervizlköny","5.890.000 Ft","? km-re  ·  2011/2  ·  Dízel  ·  2400 cm³  ·  151 kW (205 LE)  ·  132 805 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB","","https://www.hasznaltauto.hu/auto/volvo/xc60/volvo_xc60_2.4_d_d5_momentum_132.400km_magyar_szervizlkony-10318896","
						ÁFA visszaigényelhető! (Nyílt végű pénzügyi lízing, vagy tartós bérlet finanszírozás le... (hirdetéskód: 10318896)
					"
"MERCEDES-BENZ B 180 CDI 7G-DCT Nettó 4.706.220","5.976.899 Ft","? km-re  ·  2015/1  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  48 000 km","GARANCIÁLIS#TEMPOMAT#KÖDLÁMPA#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_cdi_7g-dct_netto_4.706.220-12048424","
						 (hirdetéskód: 12048424)
					"
"BMW 530d (Automata) Friss szerviz.garancia.WALLIS","5.990.000 Ft","? km-re  ·  2010/5  ·  Dízel  ·  2993 cm³  ·  180 kW (245 LE)  ·  162 858 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ#XENON","","https://www.hasznaltauto.hu/auto/bmw/530/bmw_530d_automata_friss_szerviz.garancia.wallis-12097407","
						Alkalmi vétel! Az autó újonnan a Wallis Motor Duna Kft-től vásárolt, majd végig itt a W... (hirdetéskód: 12097407)
					"
"MERCEDES-BENZ A-OSZTÁLY A 180 CDI (BlueEFFICIENCY) 7G-DCT M.o.-i","5.990.000 Ft","? km-re  ·  2014/8  ·  Dízel  ·  1796 cm³  ·  80 kW (109 LE)  ·  52 100 km","GARANCIÁLIS#TEMPOMAT#KÖDLÁMPA#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a-osztaly/mercedes-benz_a-osztaly_a_180_cdi_blueefficiency_7g-dct_m.o.-i-12068032","
						 (hirdetéskód: 12068032)
					"
"MERCEDES-BENZ B 160 Urban 7G-DCT Magyar! ISP! ÁFÁS!","5.990.000 Ft","? km-re  ·  2015/8  ·  Benzin  ·  1595 cm³  ·  75 kW (102 LE)  ·  80 000 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#DVD#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_160/mercedes-benz_b_160_urban_7g-dct_magyar_isp_afas-10296582","
						Eladó egy gyönyörű állapotban lévő, nagyon megkímélt, folyamatosan szervizelt B 160! Tü... (hirdetéskód: 10296582)
					"
"VOLVO V70 2.0 D [D3] R-Design újszerű állapotban!","5.990.000 Ft","? km-re  ·  2011/5  ·  Dízel  ·  1984 cm³  ·  120 kW (163 LE)  ·  142 576 km","GARANCIÁLIS","","https://www.hasznaltauto.hu/auto/volvo/v70/volvo_v70_2.0_d_d3_r-design_ujszeru_allapotban-10854641","
						ABS, EBD, DSTC, 6 légzsák, szervokormány, tempomat, elektromos tükrök, 4 elektromos abl... (hirdetéskód: 10854641)
					"
"OPEL CASCADA 2.0 CDTI (Automata) Cosmo","5.999.000 Ft","? km-re  ·  2016/5  ·  Dízel  ·  1956 cm³  ·  121 kW (165 LE)  ·  41 000 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ KORMÁNY#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#RÁDIÓ#SZÍNEZETT ÜVEG#TEMPOMAT#USB#ÜLÉSHŰTÉS/SZELLŐZTETÉS#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/opel/cascada/opel_cascada_2.0_cdti_automata_cosmo-11975563","
						Magyarországi, garanciális azonnal elvihető cabrio! Ha szereti hogy a haja lobog a szél... (hirdetéskód: 11975563)
					"
