"cim","price","infosor","felszereltseg","diler","link","leiras"
"MERCEDES-BENZ B 180 CDI Style EURO6 7G-DCT Áfás!Integrált szerviz csomag","6.990.000 Ft","? km-re  ·  2016/9  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 000 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_cdi_style_euro6_7g-dct_afasintegralt_szerviz_csomag-10879202","
						magyarországi, vezetett szervizkönyves, első tulajdobónostól, Éjfekete unifényezés, kri... (hirdetéskód: 10879202)
					"
"VOLVO S60 2.0 D [D3] Momentum","6.990.000 Ft","? km-re  ·  2015/3  ·  Dízel  ·  1984 cm³  ·  100 kW (136 LE)  ·  35 000 km","GARANCIÁLIS","","https://www.hasznaltauto.hu/auto/volvo/s60/volvo_s60_2.0_d_d3_momentum-9410627","
						ABS, EBD, DSTC, 6 légzsák, kikapcsolható utasoldali légzsák, komfort futómű, hátsó spoi... (hirdetéskód: 9410627)
					"
"VOLVO V40 2.0 D [D2] R-Design Momentum","6.990.000 Ft","? km-re  ·  2016/5  ·  Dízel  ·  1969 cm³  ·  88 kW (120 LE)  ·  25 000 km","GARANCIÁLIS","","https://www.hasznaltauto.hu/auto/volvo/v40/volvo_v40_2.0_d_d2_r-design_momentum-10822797","
						ABS, EBD, DSTC, 6 légzsák, tempomat, tolatóradar hátul, elektromos tükrök, 4 elektromos... (hirdetéskód: 10822797)
					"
"BMW 530d Gran Turismo (Automata) WALLIS DUNA HASZNÁLTAUTÓ","6.999.999 Ft","? km-re  ·  2012/9  ·  Dízel  ·  2993 cm³  ·  190 kW (258 LE)  ·  177 000 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#DVD#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ#VONÓHOROG#XENON","","https://www.hasznaltauto.hu/auto/bmw/530/bmw_530d_gran_turismo_automata_wallis_duna_hasznaltauto-12071528","
						Makulátlan sérülésmentes állapot. Garanciával, új gumikkal, vezetett szervizkönyvvel. M... (hirdetéskód: 12071528)
					"
"VOLVO V70 2.4 D [D4] AWD Summum Geartronic","7.090.000 Ft","? km-re  ·  2014/1  ·  Dízel  ·  2400 cm³  ·  120 kW (163 LE)  ·  137 805 km","GARANCIÁLIS#AUTOMATA","","https://www.hasznaltauto.hu/auto/volvo/v70/volvo_v70_2.4_d_d4_awd_summum_geartronic-11387337","
						ABS, EBD, DSTC, 6 légzsák, Servotronic(sebességfüggő szervokormány), Nivomat(automata s... (hirdetéskód: 11387337)
					"
"MERCEDES-BENZ B 160 Style 7G-DCT Nettó 5.601.640","7.114.082 Ft","? km-re  ·  2016/6  ·  Benzin  ·  1595 cm³  ·  75 kW (102 LE)  ·  34 400 km","GARANCIÁLIS#TEMPOMAT#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#SZÍNEZETT ÜVEG#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_160/mercedes-benz_b_160_style_7g-dct_netto_5.601.640-11927867","
						Okostelefon integráció csomag, Tolatókamera, Sávtartó csomag, Park Pilot, DISTRONIC PLU... (hirdetéskód: 11927867)
					"
"MERCEDES-BENZ A 180 d BlueEFFICIENCY Edition Style 7G-DCT","7.190.000 Ft","? km-re  ·  2016/3  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  37 150 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_blueefficiency_edition_style_7g-dct-11510174","
						Mercedes márkakereskedésből, üléskomfort csomag, világítás csomag, kristályszürke ARTIC... (hirdetéskód: 11510174)
					"
"VOLVO S60 2.0 D [D3] Kinetic Geartronic","7.190.000 Ft","? km-re  ·  2016/5  ·  Dízel  ·  1969 cm³  ·  110 kW (150 LE)  ·  21 400 km","GARANCIÁLIS#AUTOMATA","","https://www.hasznaltauto.hu/auto/volvo/s60/volvo_s60_2.0_d_d3_kinetic_geartronic-12032497","
						ABS, EBD, DSTC, 6 légzsák, szervokormány, immobiliser, elektromos tükrök, 6 fokozatú Au... (hirdetéskód: 12032497)
					"
"BMW X3 xDrive20d (Automata) Mo-i. 98.500 km. BMW Szalon","7.199.000 Ft","? km-re  ·  2011/2  ·  Dízel  ·  1995 cm³  ·  135 kW (184 LE)  ·  98 500 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ#XENON","","https://www.hasznaltauto.hu/auto/bmw/x3/bmw_x3_xdrive20d_automata_mo-i._98.500_km._bmw_szalon-11952151","
						X Line modell, Professional navigációs rendszer, Head-Up display, Sport ülések, Nevada... (hirdetéskód: 11952151)
					"
"BMW 218d Sport (Automata) PANORÁMA!LED!NAVIGÁCIÓ!","7.390.000 Ft","? km-re  ·  2015/4  ·  Dízel  ·  1995 cm³  ·  110 kW (150 LE)  ·  31 900 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/bmw/218/bmw_218d_sport_automata_panoramalednavigacio-11895999","
						Magyarországi, 2 év garancia, sérülésmentes, leinformálható, megkímélt, magas felszerel... (hirdetéskód: 11895999)
					"
