"cim","price","infosor","felszereltseg","diler","link","leiras"
"MERCEDES-BENZ B 180 d 7G-DCT Mo-i. Áfá-s. 1 tulajdonos. ISP","6.790.000 Ft","? km-re  ·  2016/10  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  11 200 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_7g-dct_mo-i._afa-s._1_tulajdonos._isp-11466195","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, Orient-barna metálfényezés, ... (hirdetéskód: 11466195)
					"
"MERCEDES-BENZ GLK 220 CDI BlueEFF. 4Matic EURO5 (Automata) MAGYAR.SZKÖNYV.GARANCIA !","6.790.000 Ft","? km-re  ·  2012/5  ·  Dízel  ·  2143 cm³  ·  125 kW (170 LE)  ·  105 529 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/glk_220/mercedes-benz_glk_220_cdi_blueeff._4matic_euro5_automata_magyar.szkonyv.garancia-11635754","
						MAGYARORSZÁGI, VEZETETT SZERVÍZKÖNYV, GARANTÁLT MŰSZAKI ÁLLAPOT ÉS FUTÁSTELJESÍTMÉNY, G... (hirdetéskód: 11635754)
					"
"MERCEDES-BENZ B 180 CDI Urban EURO6 7G-DCT","6.890.000 Ft","? km-re  ·  2015/3  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  31 399 km","GARANCIÁLIS#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_cdi_urban_euro6_7g-dct-11869536","
						Eladó egy megkímélt állapotban lévő, nagy becsben tartott Mercedes-Benz B 180 CDI. Az a... (hirdetéskód: 11869536)
					"
"MERCEDES-BENZ B 180 d Urban 7G-DCT M.O.i . ÁFÁS . ISP !","6.890.000 Ft","? km-re  ·  2016/1  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  19 284 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_urban_7g-dct_m.o.i_._afas_._isp-11787615","
						INTEGRÁLT SZERVIZ CSOMAG, 4 ÉV VAGY 120 EZER KM GARANCIA ÉS KARBANTARTÁS! FELSZERELTSÉG... (hirdetéskód: 11787615)
					"
"MERCEDES-BENZ B 180 d Urban 7G-DCT M.O.i . 1 tulajdonos.ÁFÁS !","6.890.000 Ft","? km-re  ·  2016/12  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  20 000 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_urban_7g-dct_m.o.i_._1_tulajdonos.afas-11130648","
						INTEGRÁLT SZERVIZ CSOMAG 4 ÉV VAGY 120 EZER KM GARANCIA ÉS KARBANTARTÁS! Felszereltség:... (hirdetéskód: 11130648)
					"
"BMW 520d xDrive Touring (Automata) magyar ÁFÁ-s","6.990.000 Ft","? km-re  ·  2014/5  ·  Dízel  ·  1995 cm³  ·  135 kW (184 LE)  ·  113 000 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#GPS#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#XENON","","https://www.hasznaltauto.hu/auto/bmw/520/bmw_520d_xdrive_touring_automata_magyar_afa-s-11978402","
						Magyarországi! Áfás számlás! Szép állapotban! Professional Navigációs rendszer, kerékőr... (hirdetéskód: 11978402)
					"
"MERCEDES-BENZ A 160 Style Mo-i. vezetett sze","6.990.000 Ft","? km-re  ·  2016/3  ·  Benzin  ·  1595 cm³  ·  75 kW (102 LE)  ·  29 500 km","GARANCIÁLIS#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#SPORTFUTÓMŰ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_160/mercedes-benz_a_160_style_mo-i._vezetett_sze-11102371","
						Mercedes márkakereskedésből, Elbait zöld metálfényezés, fekete ARTICO/szövet, aktív par... (hirdetéskód: 11102371)
					"
"MERCEDES-BENZ A 180 d Urban 7G-DCT Magyaro.4év ISP Garancia","6.990.000 Ft","? km-re  ·  2016/6  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  28 476 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ ÜLÉS#GPS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_d_urban_7g-dct_magyaro.4ev_isp_garancia-12084070","
						MAGYARORSZÁGI, BEMUTATÓAUTÓ, 4 ÉV VAGY 120.000 KM GARANCIA ÉS KARBANTARTÁS, URBAN kivit... (hirdetéskód: 12084070)
					"
"MERCEDES-BENZ A 180 BlueEFFICIENCY Edition Urban","6.990.000 Ft","? km-re  ·  2016/3  ·  Benzin  ·  1595 cm³  ·  90 kW (122 LE)  ·  24 585 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/a_180/mercedes-benz_a_180_blueefficiency_edition_urban-11583029","
						Mercedes márkakereskedésből, üléskomfort csomag, világítás csomag, fekete ARTICO/szövet... (hirdetéskód: 11583029)
					"
"MERCEDES-BENZ B 180 d Urban 7G-DCT Mo-i. Áfá-s. 1 tulajdonos. ISP","6.990.000 Ft","? km-re  ·  2016/11  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  15 200 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_d_urban_7g-dct_mo-i._afa-s._1_tulajdonos._isp-11946662","
						magyarországi, vezetett szervizkönyves, első tulajdonostól, Zirrus-fehér unifényezés Fe... (hirdetéskód: 11946662)
					"
