"cim","price","infosor","felszereltseg","diler","link","leiras"
"BMW 320d xDrive Mo-i. 92.000km!","5.999.999 Ft","? km-re  ·  2012/12  ·  Dízel  ·  1995 cm³  ·  135 kW (184 LE)  ·  92 000 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG","","https://www.hasznaltauto.hu/auto/bmw/320/bmw_320d_xdrive_mo-i._92.000km-10971578","
						BMW 320d Xdrive, Szép, megkímélt állapotban. Tolatószenzor, Elektromos tükörbehajtás, K... (hirdetéskód: 10971578)
					"
"KIA SPORTAGE 1.7 CRDi EX Limited Mo.1 tulaj.Garancia!","6.190.000 Ft","? km-re  ·  2016/4  ·  Dízel  ·  1685 cm³  ·  85 kW (116 LE)  ·  13 264 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ KORMÁNY#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PÓTKERÉK#RADAR#RÁDIÓ#SZÍNEZETT ÜVEG#TEMPOMAT#USB#XENON","","https://www.hasznaltauto.hu/auto/kia/sportage/kia_sportage_1.7_crdi_ex_limited_mo.1_tulaj.garancia-11740799","
						Tetőkialakítás: Panoráma üvegtető Világítás csomag: Xenon fényszórók, LED hátsólápma, f... (hirdetéskód: 11740799)
					"
"BMW 218d (Automata) (7 személyes ) 2 év garancia.friss szerviz","6.490.000 Ft","? km-re  ·  2016/2  ·  Dízel  ·  1995 cm³  ·  110 kW (150 LE)  ·  67 617 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB","","https://www.hasznaltauto.hu/auto/bmw/218/bmw_218d_automata_7_szemelyes__2_ev_garancia.friss_szerviz-12094920","
						Az autó kitűnő állapotban van, a km futás valós. Főbb felszereltség: Advantage modell l... (hirdetéskód: 12094920)
					"
"BMW 530d (Automata) Friss szerviz.garancia.Wallis","6.490.000 Ft","? km-re  ·  2010/9  ·  Dízel  ·  2993 cm³  ·  180 kW (245 LE)  ·  181 978 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BI-XENON#BLUETOOTH#BŐR#CD-RÁDIÓ#CENTRÁLZÁR#ESP#ÉJJELLÁTÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#PARKRADAR#RADAR#SPORTFUTÓMŰ#SZÍNEZETT ÜVEG#TEMPOMAT#USB#ÜLÉSHŰTÉS/SZELLŐZTETÉS#VISSZAGURULÁS-GÁTLÓ#XENON","","https://www.hasznaltauto.hu/auto/bmw/530/bmw_530d_automata_friss_szerviz.garancia.wallis-12097522","
						Az autó kitűnő állapotban van, friss szervizzel eladó! Főbb felszereltsége: alpes fehér... (hirdetéskód: 12097522)
					"
"BMW 318 GRAN TURISMO Mo-i. Garanciával!","6.499.000 Ft","? km-re  ·  2015  ·  Dízel  ·  1995 cm³  ·  105 kW (143 LE)  ·  135 120 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#USB#XENON","","https://www.hasznaltauto.hu/auto/bmw/318_gran_turismo/bmw_318_gran_turismo_mo-i._garanciaval-11432007","
						Magyarországon vásárolt, BMW Márkakereskedésben Leinformálhatóan szervízelt, Komplett t... (hirdetéskód: 11432007)
					"
"MERCEDES-BENZ C 180 CGI BlueEFFICIENCY Avantgarde (Automata) Szervizkönyves! Garanciális!!!","6.499.000 Ft","? km-re  ·  2011/6  ·  Benzin  ·  1796 cm³  ·  115 kW (156 LE)  ·  114 276 km","GARANCIÁLIS#ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#PÓTKERÉK#RADAR#TEMPOMAT","","https://www.hasznaltauto.hu/auto/mercedes-benz/c_180/mercedes-benz_c_180_cgi_blueefficiency_avantgarde_automata_szervizkonyves_garancialis-12072157","
						Megtekinthető és megvásárolható a Pappas Auto Magyarország Kft. pécsi használtautó tele... (hirdetéskód: 12072157)
					"
"OPEL ZAFIRA TOURER 2.0 CDTI Innovation Start-Stop (7 személyes ) Magyarországi gyári garancia.B"," Akció  6.499.000 Ft","? km-re  ·  2016/9  ·  Dízel  ·  1956 cm³  ·  125 kW (170 LE)  ·  29 740 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#BŐR#CENTRÁLZÁR#ESP#FŰTHETŐ KORMÁNY#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PÓTKERÉK#RADAR#RÁDIÓ#SZÍNEZETT ÜVEG#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/opel/zafira_tourer/opel_zafira_tourer_2.0_cdti_innovation_start-stop_7_szemelyes__magyarorszagi_gyari_garancia.b-12110064","
						Hétszemélyes egyterű, eco flex takarékos diesel, minden kényelmi és biztonsági igényt k... (hirdetéskód: 12110064)
					"
"MERCEDES-BENZ B 180 CDI Style 7G-DCT Mo-i. Áfá-s. 1 tulajdonos","6.649.000 Ft","? km-re  ·  2015/10  ·  Dízel  ·  1461 cm³  ·  80 kW (109 LE)  ·  22 804 km","GARANCIÁLIS#ASR#ESP#CENTRÁLZÁR#ISOFIX#ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#KIHANGOSÍTÓ#KLÍMA#LÉGZSÁK#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_180/mercedes-benz_b_180_cdi_style_7g-dct_mo-i._afa-s._1_tulajdonos-11683643","
						ECO Start Stop funkció, Tirefit abroncsjavító készlet, Vonal optikás díszítőelemek, Ada... (hirdetéskód: 11683643)
					"
"MERCEDES-BENZ B 160 CDI d Urban ÁFA-s.4év ISPgarancia","6.690.000 Ft","? km-re  ·  2016/7  ·  Dízel  ·  1461 cm³  ·  66 kW (90 LE)  ·  37 881 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#DVD#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#PARKRADAR#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_160/mercedes-benz_b_160_cdi_d_urban_afa-s.4ev_ispgarancia-11266544","
						MAGYARORSZÁGI, BEMUTATÓAUTÓ, A VÉTELÁRRÓL NETTO+ÁFA-S SZÁMLÁT ÁLLÍTUNK KI, NYÍLTVÉGŰ PÉ... (hirdetéskód: 11266544)
					"
"MERCEDES-BENZ B 160 Style","6.690.000 Ft","? km-re  ·  2016/7  ·  Benzin  ·  1595 cm³  ·  75 kW (102 LE)  ·  33 537 km","GARANCIÁLIS#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ ÜLÉS#GPS#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MEMO ÜLÉS#MULTI KORMÁNY#PARKRADAR#RADAR#RÁDIÓ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","","https://www.hasznaltauto.hu/auto/mercedes-benz/b_160/mercedes-benz_b_160_style-11214650","
						Eladó egy Mercedes-Benz B 160! Az autó mind esztétikailag, mind pedig műszakilag kifogá... (hirdetéskód: 11214650)
					"
