"cim","price","infosor","felszereltseg","diler","link","leiras"
"AUDI Q7 3.0 TDI quattro DPF Tiptronic Euro6 INGATLAN CSERE ÉRDEKEL!","8.950.000 Ft","? km-re  ·  2011/1  ·  Dízel  ·  2967 cm³  ·  176 kW (239 LE)  ·  177 300 km","ALUFELNI#ASR#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CD-RÁDIÓ#CENTRÁLZÁR#ESP#ÉJJELLÁTÓ#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ TÜKÖR#GPS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#NYOMKÖVETŐ#PARKRADAR#PÓTKERÉK#RADAR#SZÍNEZETT ÜVEG#USB#XENON","","https://www.hasznaltauto.hu/auto/audi/q7/audi_q7_3.0_tdi_quattro_dpf_tiptronic_euro6_ingatlan_csere_erdekel-10730492","
						Az autó szalonállapotban van, mint egy gyári új autó! Garantált kilóméterrel, VEZETETT... (hirdetéskód: 10730492)
					"
"OPEL MOKKA X 1.4 T Enjoy Start-Stop KÉSZLETRŐL!","5.368.000 Ft","? km-re  ·  2017/4  ·  Benzin  ·  1364 cm³  ·  103 kW (140 LE)  ·  0 km","SZALONAUTÓ#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#NYOMKÖVETŐ#PARKRADAR#PÓTKERÉK#RÁDIÓ#SZÍNEZETT ÜVEG#TEMPOMAT#USB","Sziget Autóház Kft.","https://www.hasznaltauto.hu/auto/opel/mokka_x/opel_mokka_x_1.4_t_enjoy_start-stop_keszletrol-11551667","
						TOVÁBBI EGYEDI AJÁNLATOKKAL VÁRJUK! FOGLALJON IDŐPONTOT MOST: 06 20 290 35 45! Magas sz... (hirdetéskód: 11551667)
					"
"OPEL CORSA E 1.4 Enjoy A LEGJOBB VÁLASZTÁS!","3.547.000 Ft","? km-re  ·  2017  ·  Benzin  ·  1398 cm³  ·  66 kW (90 LE)  ·  0 km","SZALONAUTÓ#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CENTRÁLZÁR#ESP#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#PÓTKERÉK#RÁDIÓ#TEMPOMAT#USB#VISSZAGURULÁS-GÁTLÓ","Sziget Autóház Kft.","https://www.hasznaltauto.hu/auto/opel/corsa_e/opel_corsa_e_1.4_enjoy_a_legjobb_valasztas-11923256","
						TOVÁBBI EGYEDI AJÁNLATOKKAL VÁRJUK! FOGLALJON IDŐPONTOT MOST: 06 20 372 15 23! Minden, ... (hirdetéskód: 11923256)
					"
"OPEL ASTRA K 1.4 Enjoy A KIHAGYHATATLAN!","4.525.000 Ft","? km-re  ·  2017  ·  Benzin  ·  1399 cm³  ·  74 kW (101 LE)  ·  0 km","SZALONAUTÓ#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#NYOMKÖVETŐ#PÓTKERÉK#RÁDIÓ#TEMPOMAT#USB","Sziget Autóház Kft.","https://www.hasznaltauto.hu/auto/opel/astra_k/opel_astra_k_1.4_enjoy_a_kihagyhatatlan-11923484","
						TOVÁBBI EGYEDI AJÁNLATOKKAL VÁRJUK! FOGLALJON IDŐPONTOT MOST: 06 20 372 12 90! A hirdet... (hirdetéskód: 11923484)
					"
"OPEL CROSSLAND X AZ OPEL SZIGETTŐL!","4.145.000 Ft","? km-re  ·  2017  ·  Benzin  ·  0 km","SZALONAUTÓ#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#ISOFIX#KLÍMA#LÉGZSÁK#RÁDIÓ#USB#VISSZAGURULÁS-GÁTLÓ","Sziget Autóház Kft.","https://www.hasznaltauto.hu/auto/opel/crossland_x/opel_crossland_x_az_opel_szigettol-11923524","
						TOVÁBBI EGYEDI AJÁNLATOKKAL VÁRJUK! FOGLALJON IDŐPONTOT MOST: 06 20 372 15 23! ELSŐ OSZ... (hirdetéskód: 11923524)
					"
"OPEL INSIGNIA Grand Sport 1.5 Innovation Start Stop","7.470.000 Ft","? km-re  ·  2017  ·  Benzin  ·  1490 cm³  ·  121 kW (165 LE)  ·  0 km","SZALONAUTÓ#ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#BLUETOOTH#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#GPS#ISOFIX#KLÍMA#KULCSNÉLKÜLI INDÍTÁS#LÉGZSÁK#MULTI KORMÁNY#NYOMKÖVETŐ#PARKRADAR#RÁDIÓ#SZÍNEZETT ÜVEG#TEMPOMAT#USB","Sziget Autóház Kft.","https://www.hasznaltauto.hu/auto/opel/insignia/opel_insignia_grand_sport_1.5_innovation_start_stop-11923577","
						TOVÁBBI EGYEDI AJÁNLATOKKAL VÁRJUK! FOGLALJON IDŐPONTOT MOST: 06 20 290 35 45! A csúcs-... (hirdetéskód: 11923577)
					"
"VOLKSWAGEN GOLF V 1.6 Comfortline MAGYARO.-i SZERVIZKÖNYV BENZIN","1.495.000 Ft","? km-re  ·  2004/10  ·  Benzin  ·  1595 cm³  ·  75 kW (102 LE)  ·  167 000 km","ALUFELNI#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#FŰTHETŐ TÜKÖR#KLÍMA#KÖDLÁMPA#LÉGZSÁK#PÓTKERÉK#SZÍNEZETT ÜVEG","","https://www.hasznaltauto.hu/auto/volkswagen/golf_v/volkswagen_golf_v_1.6_comfortline_magyaro.-i_szervizkonyv_benzin-11939350","
						MAGYARORSZÁGI VEZETETT SZERVIZKÖNYVVEL, AZ ÖSSZES GYÁRI KULCSAIVAL. 10 LÉGZSÁKKAL, DUPL... (hirdetéskód: 11939350)
					"
"FORD FIESTA 1.4 Colourline (Automata) FOGLALÓZVA!!!","2.490.000 Ft","? km-re  ·  2010/9  ·  Benzin  ·  1388 cm³  ·  71 kW (97 LE)  ·  39 200 km","ALUFELNI#AUTOMATA#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PÓTKERÉK#RADAR#SZÍNEZETT ÜVEG","Hungarikum Autó Kft.","https://www.hasznaltauto.hu/auto/ford/fiesta/ford_fiesta_1.4_colourline_automata_foglalozva-12103933","
						Magyarországon újonnan forgalomba helyezett, egytulajos automata váltós Ford Fiesta ela... (hirdetéskód: 12103933)
					"
"FORD C-MAX 1.6 TDCi Ghia DPF Sz.könyv!D.klíma!Tempomat!Bp!","1.188.888 Ft","? km-re  ·  2006/7  ·  Dízel  ·  1560 cm³  ·  80 kW (109 LE)  ·  178 000 km","ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ SZÉLVÉDŐ#FŰTHETŐ TÜKÖR#FŰTHETŐ ÜLÉS#HIFI#ISOFIX#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#PÓTKERÉK#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT","","https://www.hasznaltauto.hu/auto/ford/c-max/ford_c-max_1.6_tdci_ghia_dpf_sz.konyvd.klimatempomatbp-12110216","
						Egy elképesztően jól felszerelt, Ghia dízel Ford C-max korrekt áron eladó! Minden extrá... (hirdetéskód: 12110216)
					"
"BMW 520i Xenon!6-os kézi!Tempomat!","2.333.333 Ft","? km-re  ·  2004/8  ·  Benzin  ·  2171 cm³  ·  125 kW (170 LE)  ·  213 000 km","ALUFELNI#ASR#ÁLLÍTHATÓ KORMÁNY#CD-RÁDIÓ#CENTRÁLZÁR#ESP#FŰTHETŐ TÜKÖR#HIFI#KIHANGOSÍTÓ#KLÍMA#KÖDLÁMPA#LÉGZSÁK#MULTI KORMÁNY#PARKRADAR#PÓTKERÉK#RADAR#SZÍNEZETT ÜVEG#TEMPOMAT#XENON","","https://www.hasznaltauto.hu/auto/bmw/520/bmw_520i_xenon6-os_kezitempomat-12110786","
						Budapesten! Bajor Motorgyár fanatikusok figyelem! Egy nagyon jó állapotnak örvendő, ben... (hirdetéskód: 12110786)
					"
